Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d
Fernando el Católico - Cuenca;24;T;11;7;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3840274173384119, 39.469077319212495], ""type"": ""Point""}";39.469077319212495, -0.3840274173384119
Conde Altea - Almirante Cadarso;32;T;16;4;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3682473649948816, 39.46600630156446], ""type"": ""Point""}";39.46600630156446, -0.3682473649948816
Regne de Valencia - Almirante Cadarso;35;T;13;1;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.36699436340059455, 39.46374929341137], ""type"": ""Point""}";39.46374929341137, -0.36699436340059455
Gregorio Gea - Profesor Beltrán Báguena;142;T;3;22;25;F;23/01/2024 17:44:30;"{""coordinates"": [-0.38965942617943544, 39.48192036501599], ""type"": ""Point""}";39.48192036501599, -0.38965942617943544
Giorgeta - Roig de Corella;195;T;0;16;16;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3842814248129742, 39.459384287208486], ""type"": ""Point""}";39.459384287208486, -0.3842814248129742
Tres Cruces - Segunda República Española;249;T;2;13;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.4027404883331656, 39.459506295875165], ""type"": ""Point""}";39.459506295875165, -0.4027404883331656
Arquitecto Segura del Lago - Camino Nuevo de Picaña;251;T;8;6;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.4044134972721287, 39.45583028505104], ""type"": ""Point""}";39.45583028505104, -0.4044134972721287
Tres Forques - Turís;256;T;6;9;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.39223544845537966, 39.46396330656933], ""type"": ""Point""}";39.46396330656933, -0.39223544845537966
Traginers - Pedrapiquers;260;T;17;3;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.4072175039832668, 39.45955629873093], ""type"": ""Point""}";39.45955629873093, -0.4072175039832668
Tres Cruces - Hospital General;246;T;2;18;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.4065094941412157, 39.469090330003425], ""type"": ""Point""}";39.469090330003425, -0.4065094941412157
Gaspar Aguilar - Vicente Parra;86;T;3;17;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.39119345191575566, 39.4552402764855], ""type"": ""Point""}";39.4552402764855, -0.39119345191575566
Blasco Ibañez - Clariano;94;T;5;15;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.35158330144926053, 39.47537832465668], ""type"": ""Point""}";39.47537832465668, -0.35158330144926053
Blasco Ibañez - Yecla;96;T;9;11;21;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3482142912637639, 39.47355431688417], ""type"": ""Point""}";39.47355431688417, -0.3482142912637639
Justo y Pastor - Duque de Gaeta;98;T;4;11;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.348442294427372, 39.469680303996114], ""type"": ""Point""}";39.469680303996114, -0.348442294427372
Plaza Músico Espí;234;T;0;15;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3736443597891149, 39.49649940567526], ""type"": ""Point""}";39.49649940567526, -0.3736443597891149
Peris y Valero - Luis Santángel;37;T;15;5;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3664406250017559, 39.460937800028375], ""type"": ""Point""}";39.460937800028375, -0.3664406250017559
Guillem de Castro (Torres de Quart);82;T;1;13;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3839144104057024, 39.47605634238628], ""type"": ""Point""}";39.47605634238628, -0.3839144104057024
Grabador Jordan - Escultor Pastor;91;T;8;7;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.36757337969703135, 39.44412522887422], ""type"": ""Point""}";39.44412522887422, -0.36757337969703135
Naranjos (Magisterio);95;T;15;18;33;F;23/01/2024 17:44:30;"{""coordinates"": [-0.34611927939668474, 39.47983533734356], ""type"": ""Point""}";39.47983533734356, -0.34611927939668474
Albocácer - Vinaroz;123;T;1;19;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.36484133609518726, 39.487671371814656], ""type"": ""Point""}";39.487671371814656, -0.36484133609518726
La Vall d'Albaida - Corts Valencianes;241;T;1;14;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.4018904586642118, 39.49297840711153], ""type"": ""Point""}";39.49297840711153, -0.4018904586642118
Plaza Luis Cano, 5;268;T;8;2;10;T;23/01/2024 17:44:30;"{""coordinates"": [-0.41849350927046264, 39.50144544298018], ""type"": ""Point""}";39.50144544298018, -0.41849350927046264
General Urrutia - Granada;41;T;8;11;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.36477635908979195, 39.458912276426375], ""type"": ""Point""}";39.458912276426375, -0.36477635908979195
Blasco Ibañez - Pintor José Mongrell;99;T;1;20;21;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3404842660990001, 39.47134430635022], ""type"": ""Point""}";39.47134430635022, -0.3404842660990001
Rubén Darío - Plaza Fray Luis Colomer;103;T;4;11;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3523713017453889, 39.47845333567255], ""type"": ""Point""}";39.47845333567255, -0.3523713017453889
Escultor José Capuz - Oriente;43;T;1;19;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.36115334583643566, 39.459477276259406], ""type"": ""Point""}";39.459477276259406, -0.36115334583643566
Blasco Ibañez - Mestre Ripoll;100;T;19;1;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.33815025853445674, 39.471634305646866], ""type"": ""Point""}";39.471634305646866, -0.33815025853445674
Ramón Llull - Serpis;102;T;1;19;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.346720283882565, 39.47583332394092], ""type"": ""Point""}";39.47583332394092, -0.346720283882565
Castán Tobeñas - Patriques;220;T;5;11;16;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3983214623957442, 39.47385534208041], ""type"": ""Point""}";39.47385534208041, -0.3983214623957442
Barcas, 11;40;T;7;19;26;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3748243837183276, 39.470466319701956], ""type"": ""Point""}";39.470466319701956, -0.3748243837183276
Antonio Ferrandis - General Urrutia;48;T;8;12;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.35855273823228967, 39.450807354184086], ""type"": ""Point""}";39.450807354184086, -0.35855273823228967
Ricardo Muñoz Suay - María José Victoria Fuster (C.C. El Saler);49;T;16;9;25;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3571104198826364, 39.45298693239739], ""type"": ""Point""}";39.45298693239739, -0.3571104198826364
Alameda - Pintor Maella;53;T;25;0;25;F;23/01/2024 17:44:30;"{""coordinates"": [-0.34813930400480075, 39.45676426141678], ""type"": ""Point""}";39.45676426141678, -0.34813930400480075
Pavía - Espadán;165;T;18;2;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3245702116150898, 39.471409299035706], ""type"": ""Point""}";39.471409299035706, -0.3245702116150898
Gran Canaria - Ingeniero Manuel Maese;171;T;15;0;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.32900821806202085, 39.483060339803416], ""type"": ""Point""}";39.483060339803416, -0.32900821806202085
Hospital Nueva Fe (administración);189;T;5;24;30;T;23/01/2024 17:44:30;"{""coordinates"": [-0.37706532415787625, 39.44477922701873], ""type"": ""Point""}";39.44477922701873, -0.37706532415787625
Fontanars dels Aforins - Jacinto Labaila;197;T;1;14;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.39233345436447337, 39.458184286737165], ""type"": ""Point""}";39.458184286737165, -0.39233345436447337
Gaspar Aguilar - Músico Penella;209;T;10;8;18;T;23/01/2024 17:44:30;"{""coordinates"": [-0.39301546105732643, 39.45208226727133], ""type"": ""Point""}";39.45208226727133, -0.39301546105732643
Pintor Luis Arcas - Inst. Obrero Valenciano;46;T;17;3;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.35878734087160885, 39.455509261762266], ""type"": ""Point""}";39.455509261762266, -0.35878734087160885
Francia - Pintor Maella;55;T;17;8;25;F;23/01/2024 17:44:30;"{""coordinates"": [-0.34868630411595647, 39.45934326975421], ""type"": ""Point""}";39.45934326975421, -0.34868630411595647
Alameda - Pintor Monleón;57;T;4;16;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3582563324315247, 39.46447629179199], ""type"": ""Point""}";39.46447629179199, -0.3582563324315247
Don Vicente Guillot - Progreso;166;T;6;8;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.32881122495787873, 39.47334930757559], ""type"": ""Point""}";39.47334930757559, -0.32881122495787873
Hospital Nueva Fe (consultas externas);188;T;6;34;40;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3751583239336074, 39.44462122517277], ""type"": ""Point""}";39.44462122517277, -0.3751583239336074
Estación AVE Joaquín Sorolla;194;T;3;37;40;T;23/01/2024 17:44:30;"{""coordinates"": [-0.38097441235847007, 39.461018290993636], ""type"": ""Point""}";39.461018290993636, -0.38097441235847007
Micer Mascó - Rodriguez Fornos;81;T;4;16;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.36097833354659675, 39.47512832851177], ""type"": ""Point""}";39.47512832851177, -0.36097833354659675
Esparraguera - Cra. Malilla;191;T;14;1;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.37886641388495107, 39.45032925434954], ""type"": ""Point""}";39.45032925434954, -0.37886641388495107
Baleares - Río Escalona;59;T;13;2;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3545493213542055, 39.463088285667624], ""type"": ""Point""}";39.463088285667624, -0.3545493213542055
Vicent Vidal - Pintor Maella;61;T;11;9;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.34783029886743094, 39.46129327599964], ""type"": ""Point""}";39.46129327599964, -0.34783029886743094
Av. Puerto - Doctor Manuel Candela;65;T;11;8;19;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3508373061951808, 39.465516292011046], ""type"": ""Point""}";39.465516292011046, -0.3508373061951808
San Francisco de Paula - Castell de Pop;274;T;4;11;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3331882593063431, 39.44807022576504], ""type"": ""Point""}";39.44807022576504, -0.3331882593063431
Ramiro de Maeztu - Peris Brell;72;T;11;4;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.34644628196214244, 39.467257201162404], ""type"": ""Point""}";39.467257201162404, -0.34644628196214244
Campoamor - Músico Ginés;76;T;11;8;19;T;23/01/2024 17:44:30;"{""coordinates"": [-0.343461277578989, 39.47008330347364], ""type"": ""Point""}";39.47008330347364, -0.343461277578989
Poeta Serrano Clavero - General Llorens;230;T;11;4;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.38678440634001116, 39.49475040560395], ""type"": ""Point""}";39.49475040560395, -0.38678440634001116
Moreras - Rona de Nazaret;275;T;19;1;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3350652633218127, 39.45230524022502], ""type"": ""Point""}";39.45230524022502, -0.3350652633218127
Marqués de San Juan - Diputat Lluís Lucía;144;T;15;0;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.39548044804080085, 39.4787793569025], ""type"": ""Point""}";39.4787793569025, -0.39548044804080085
Doctor Nicasio Benlloch - L'Horta Sud;228;T;3;11;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.398671446907537, 39.4936924079167], ""type"": ""Point""}";39.4936924079167, -0.398671446907537
Pie de la Cruz - Rejas;147;T;4;10;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3802074001545322, 39.47320133107913], ""type"": ""Point""}";39.47320133107913, -0.3802074001545322
Alfahuir - Duque de Mandas;127;T;6;14;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3644463333304693, 39.49059138177909], ""type"": ""Point""}";39.49059138177909, -0.3644463333304693
Almazora - Benimuslem;129;T;13;7;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3699453557741905, 39.485975369089516], ""type"": ""Point""}";39.485975369089516, -0.3699453557741905
CALLE SANTA AMALIA  2, esquina POETA BODRIA;131;T;0;20;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3729122732215235, 39.48141722170027], ""type"": ""Point""}";39.48141722170027, -0.3729122732215235
Alfahuir - Peñiscola;128;T;3;22;25;T;23/01/2024 17:44:30;"{""coordinates"": [-0.367544345093534, 39.48876637693274], ""type"": ""Point""}";39.48876637693274, -0.367544345093534
Pío XII - Campanar;172;T;2;18;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3933454386575609, 39.48146236504626], ""type"": ""Point""}";39.48146236504626, -0.3933454386575609
Monduber - Peset Aleixandre;174;T;5;14;19;T;23/01/2024 17:44:30;"{""coordinates"": [-0.38664740957644866, 39.489438388167024], ""type"": ""Point""}";39.489438388167024, -0.38664740957644866
Constitución - Reus;135;T;10;10;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.37850138478156414, 39.48570237196362], ""type"": ""Point""}";39.48570237196362, -0.37850138478156414
Economista Gay - Luis Crumiere;137;T;3;17;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3798963873712934, 39.48903338344832], ""type"": ""Point""}";39.48903338344832, -0.3798963873712934
Cno. Moncada - Pedro Patricio Mey;176;T;0;20;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.378853381402734, 39.49201739310727], ""type"": ""Point""}";39.49201739310727, -0.378853381402734
Ausias March - Pianista Amparo Iturbi;182;T;4;17;21;F;23/01/2024 17:44:30;"{""coordinates"": [-0.37496539716978367, 39.455432269344854], ""type"": ""Point""}";39.455432269344854, -0.37496539716978367
Salvador Giner - C. Museo;2;T;6;9;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3797483936090024, 39.479889353348874], ""type"": ""Point""}";39.479889353348874, -0.3797483936090024
Plaza de la Virgen - Bailía;4;T;2;23;25;T;23/01/2024 17:44:30;"{""coordinates"": [-0.37534238089458904, 39.476747340831494], ""type"": ""Point""}";39.476747340831494, -0.37534238089458904
Alfambra - Poeta Monmeneu;133;T;7;8;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.37588237827023757, 39.48275636079257], ""type"": ""Point""}";39.48275636079257, -0.37588237827023757
Guillem de Castro - San Pedro Pascual;6;T;0;15;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.38408341393871137, 39.472798331478145], ""type"": ""Point""}";39.472798331478145, -0.38408341393871137
Hospital - Horno del Hospital;10;T;3;12;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.38261041097634013, 39.470816323984536], ""type"": ""Point""}";39.470816323984536, -0.38261041097634013
Reina Doña María - Cádiz;152;T;13;2;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3727053849231208, 39.460925286769694], ""type"": ""Point""}";39.460925286769694, -0.3727053849231208
Pescadores - Progreso;154;T;9;6;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3295542305651281, 39.469876296228996], ""type"": ""Point""}";39.469876296228996, -0.3295542305651281
Plaza del Mercado - Taula de Canvis;7;T;0;19;19;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3791853952972924, 39.47487233593648], ""type"": ""Point""}";39.47487233593648, -0.3791853952972924
Plaza de Tetuán;9;T;21;4;25;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3699303648826442, 39.47435533016869], ""type"": ""Point""}";39.47435533016869, -0.3699303648826442
Zapadores, 23;181;T;6;9;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3681913713233589, 39.45799927509706], ""type"": ""Point""}";39.45799927509706, -0.3681913713233589
Ángel Villena - Ausias March;187;T;9;6;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3688183809361798, 39.447960241518516], ""type"": ""Point""}";39.447960241518516, -0.3688183809361798
Castán Tobeñas - Rincon de Ademuz;219;T;0;18;18;F;23/01/2024 17:44:30;"{""coordinates"": [-0.40303029799024204, 39.47265724610551], ""type"": ""Point""}";39.47265724610551, -0.40303029799024204
La Safor - Maestro Rodrigo;242;T;0;15;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.4041974712326189, 39.487907391410516], ""type"": ""Point""}";39.487907391410516, -0.4041974712326189
Av. del Cid - Burgos;216;T;1;16;17;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3994613007254756, 39.469162243634074], ""type"": ""Point""}";39.469162243634074, -0.3994613007254756
Alcañiz - Cambrils;231;T;0;15;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3786213772644184, 39.49507240298451], ""type"": ""Point""}";39.49507240298451, -0.3786213772644184
Conde Torrefiel - Cecilio Plá;235;T;0;15;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3772033703255944, 39.49804541205544], ""type"": ""Point""}";39.49804541205544, -0.3772033703255944
San Clemente - Hospital Arnau de Vilanova;227;T;11;8;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.40293146422681364, 39.49024839844318], ""type"": ""Point""}";39.49024839844318, -0.40293146422681364
Aitana - Florista;229;T;3;13;16;F;23/01/2024 17:44:30;"{""coordinates"": [-0.39480643424749534, 39.493104403991694], ""type"": ""Point""}";39.493104403991694, -0.39480643424749534
Beniferri - Vicent Tomás Martí;267;T;2;14;16;F;23/01/2024 17:44:30;"{""coordinates"": [-0.4059294716064297, 39.49416841275147], ""type"": ""Point""}";39.49416841275147, -0.4059294716064297
Plaza Ayuntamiento - Cotanda;11;T;1;26;27;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3767843903416451, 39.47118632283677], ""type"": ""Point""}";39.47118632283677, -0.3767843903416451
Alfonso el Magnánimo - Nave;13;T;9;15;24;T;23/01/2024 17:44:30;"{""coordinates"": [-0.37087436964085335, 39.4720623227334], ""type"": ""Point""}";39.4720623227334, -0.37087436964085335
Calle Salvá - Calle Poeta Querol;12;T;2;18;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3740102862977963, 39.47196722343732], ""type"": ""Point""}";39.47196722343732, -0.3740102862977963
Colón, 60;16;T;14;4;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3704333693720587, 39.470092316192336], ""type"": ""Point""}";39.470092316192336, -0.3704333693720587
Quart - Fernando el Católico;20;T;7;9;16;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3878474253260651, 39.47503434099054], ""type"": ""Point""}";39.47503434099054, -0.3878474253260651
Angel Guimerá - Juan Llorens;22;T;4;11;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3883534313205414, 39.46978732404922], ""type"": ""Point""}";39.46978732404922, -0.3883534313205414
