OBJECTID;equipamien;x;y;identifica;codvia;numportal;telefono;geo_shape;geo_point_2d
21857;GRUPO ESPAI. GRUPO DE ESPECALISTAS EN PSICOLOGÍA APLICADA E INVESTIGACIÓN;726042.388;4372402.745;009643;59250;19;963514717;"{""coordinates"": [-0.3722085658280781, 39.47154269447517], ""type"": ""Point""}";39.47154269447517, -0.3722085658280781
21886;CENTRO MUNICIPAL DE SERVICIOS SOCIALES SANT MARCEL.LÍ;724627.59210331;4369157.7826894;003264;67020;S/N;962082865;"{""coordinates"": [-0.3897316815263893, 39.44270429378943], ""type"": ""Point""}";39.44270429378943, -0.3897316815263893
21947;CÁRITAS PARROQUIAL NUESTRA SEÑORA DE LOURDES;727822.359;4372645.496;009556;63600;21;963690557;"{""coordinates"": [-0.3514537632613515, 39.47325840709569], ""type"": ""Point""}";39.47325840709569, -0.3514537632613515
21970;MISIÓN URBANA;725272.758;4372380.139;005460;65220;15;963924849;"{""coordinates"": [-0.3811545358520682, 39.47154098740297], ""type"": ""Point""}";39.47154098740297, -0.3811545358520682
21997;INSTITUCIÓN VILLA TERESITA;725222.99;4372600.72;009650;8340;S/N;963926284;"{""coordinates"": [-0.3816580944520649, 39.47353953353774], ""type"": ""Point""}";39.47353953353774, -0.3816580944520649
22008;DIRECCIÓN GENERAL DE SERVICIOS SOCIALES;723309.73;4372416.28;003494;17160;77;963176708;"{""coordinates"": [-0.40394103986215674, 39.472377875576385], ""type"": ""Point""}";39.472377875576385, -0.40394103986215674
22012;ASDU - APOYO EN EL DUELO;723108.862;4371737.944;001984;73920;10;627344338;"{""coordinates"": [-0.4065007739895166, 39.46632397583602], ""type"": ""Point""}";39.46632397583602, -0.4065007739895166
22025;ASOCIACIÓN ASPERGER VALENCIA;723634.52;4370773.25;009491;81341;S/N;963256912;"{""coordinates"": [-0.4007195184981621, 39.45750405001391], ""type"": ""Point""}";39.45750405001391, -0.4007195184981621
23550;CENTRO PSICOLÓGICO CONDUCTUAL;725087.569;4371216.196;009586;44220;31;963326238;"{""coordinates"": [-0.38369791860400704, 39.461112531729086], ""type"": ""Point""}";39.461112531729086, -0.38369791860400704
23596;CENTRO MUNICIPAL DE SERVICIOS SOCIALES SALVADOR ALLENDE;726108.58490323;4375145.2639709;003270;68370;3;962084650;"{""coordinates"": [-0.3705096500948863, 39.496210994796485], ""type"": ""Point""}";39.496210994796485, -0.3705096500948863
23729;FUNDACIÓN PROYECTO SENIOR (F.P.S.);724429.593;4372866.79;009632;25320;11;962057750;"{""coordinates"": [-0.3907832264781883, 39.47614172214926], ""type"": ""Point""}";39.47614172214926, -0.3907832264781883
23744;CREA ESPAÑA;725281.149;4373712.72;010193;24690;3;615450057;"{""coordinates"": [-0.3806069356346396, 39.48353359370824], ""type"": ""Point""}";39.48353359370824, -0.3806069356346396
23783;FUNDACIÓN INICIATIVA SOLIDARIA ÁNGEL TOMÁS;725832.483;4374618.517;009625;66330;192;963667878;"{""coordinates"": [-0.3738958802346723, 39.491542238888904], ""type"": ""Point""}";39.491542238888904, -0.3738958802346723
23929;ALCE. ASOCIACIÓN DE EPILEPSIA DE LA COMUNIDAD VALENCIANA;725129.808;4373806.387;009471;57450;3;600315079;"{""coordinates"": [-0.38234249943022697, 39.48441300024276], ""type"": ""Point""}";39.48441300024276, -0.38234249943022697
23931;ASOCIACIÓN VALENCIANA DE ESCLEROSIS LATERAL AMIOTRÓFICA - ADELA CV;723640.434;4371985.158;000483;18390;41;963794016;"{""coordinates"": [-0.4002446831826657, 39.46841130497051], ""type"": ""Point""}";39.46841130497051, -0.4002446831826657
23932;ASOCIACIÓN VALENCIANA DE FIBROSIS QUÍSTICA;728133.635;4372550.117;000474;29280;4;963567616;"{""coordinates"": [-0.347871279439709, 39.47231745530598], ""type"": ""Point""}";39.47231745530598, -0.347871279439709
23938;ASOCIACIÓN VALENCIANA SÍNDROME DE RETT;726616.507;4370379.27;000491;71640;28;963740333;"{""coordinates"": [-0.366227975676957, 39.45317823727512], ""type"": ""Point""}";39.45317823727512, -0.366227975676957
23955;ASOCIACIÓN DE JURISTAS SOLIDARIOS - AJUSO;726170.943;4371546.428;001496;59190;12;626126124;"{""coordinates"": [-0.37100582553895123, 39.4638011087331], ""type"": ""Point""}";39.4638011087331, -0.37100582553895123
23960;CENTRO SOCIAL SENABRE;724649.751;4370323.765;003486;43290;30;963570859;"{""coordinates"": [-0.3890822466170426, 39.45319385830225], ""type"": ""Point""}";39.45319385830225, -0.3890822466170426
24005;ASOCIACIÓN DE ENFERMOS DE FIEBRE MEDITERRÁNEA FAMILIAR DE ESPAÑA;726116.38;4370548.094;009501;11070;4;645378068;"{""coordinates"": [-0.37197761751360897, 39.45482929234234], ""type"": ""Point""}";39.45482929234234, -0.37197761751360897
24034;AMINSA. AGRUPACIÓN MEDITERRÁNEA DE INGENIERIA S.A.;727422.013;4373509.926;009693;40650;23;963624708;"{""coordinates"": [-0.3558085560434731, 39.481145020477186], ""type"": ""Point""}";39.481145020477186, -0.3558085560434731
24101;ASOCIACIÓN BENEFICA LA MANO QUE AYUDA;725740.773;4374630.653;010176;53640;7;963849870;"{""coordinates"": [-0.3749571737151057, 39.49167555071833], ""type"": ""Point""}";39.49167555071833, -0.3749571737151057
24169;OBRA MERCEDARIA DE VALENCIA;724893.574;4373088.277;005896;74280;58;963924902;"{""coordinates"": [-0.3853195597870918, 39.47801424963556], ""type"": ""Point""}";39.47801424963556, -0.3853195597870918
24206;CENTRO CULTURAL ISLÁMICO DE VALENCIA;727651.91150622;4373208.88463105;003406;6870;17-19-21;624014666;"{""coordinates"": [-0.3518967079951889, 39.48022589656336], ""type"": ""Point""}";39.48022589656336, -0.3518967079951889
24207;ADEMVA.ASOCIACIÓN DE ESCLEROSIS MÚLTIPLE VIRGEN DE LOS DESAMPARADOS;723593.0;4372245.25;009187;50700;S/N;962069090;"{""coordinates"": [-0.4007083904028214, 39.47076480245012], ""type"": ""Point""}";39.47076480245012, -0.4007083904028214
24211;DIRECCIÓN TERRITORIAL DE BIENESTAR SOCIAL;725387.0;4372299.08;003495;8790;36;12;"{""coordinates"": [-0.3798551352351731, 39.470781453226465], ""type"": ""Point""}";39.470781453226465, -0.3798551352351731
24217;CÁRITAS DIOCESANA DE VALENCIA;725710.023;4373114.614;003477;18600;5;963919205;"{""coordinates"": [-0.37582768284585183, 39.47803755423808], ""type"": ""Point""}";39.47803755423808, -0.37582768284585183
24350;ASOCIACIÓN DE HEMOFILIA DE LA COMUNIDAD VALENCIANA (ASHECOVA);723659.395;4371686.11;000485;81125;2;960069750;"{""coordinates"": [-0.40012471987411014, 39.46571454745438], ""type"": ""Point""}";39.46571454745438, -0.40012471987411014
24351;ASOCIACIÓN VALENCIANA DE AFECTADOS DE FIBROMIALGIA -  AVAFI;726648.143;4371475.736;001525;38430;63;963959794;"{""coordinates"": [-0.3654883879883445, 39.463039314544154], ""type"": ""Point""}";39.463039314544154, -0.3654883879883445
24352;ASOCIACIÓN VALENCIANA DE DIABETES;725388.057;4372172.52;000482;81292;2;963481588;"{""coordinates"": [-0.3798856164450737, 39.46964198646017], ""type"": ""Point""}";39.46964198646017, -0.3798856164450737
24358;FUNDACIÓN NOVATERRA;;;009629;22680;1;963122472;;
24360;ASOCIACIÓN CÍVICA EL VENTANAL;;;010150;31650;S/N;696379209;;
24456;APIPCV.ASOCIACION DE POLIO Y SINDROME POSPOLIO DE LA COMUNITAT VALENCIANA;725993.656;4373491.349;010169;60180;4;600247265;"{""coordinates"": [-0.3724056525046962, 39.48135414936116], ""type"": ""Point""}";39.48135414936116, -0.3724056525046962
23558;CENTRO MUNICIPAL DE SERVICIOS SOCIALES LA SAÏDIA;725484.602;4374246.696;010125;12300;14ac;963127183;"{""coordinates"": [-0.37806304860770956, 39.488286694254114], ""type"": ""Point""}";39.488286694254114, -0.37806304860770956
24177;CENTRO DE EVALUACIÓN Y ORIENTACIÓN DE DISCAPACIDAD DE VALÈNCIA I;724553.294;4371860.256;003479;68130;30;962989550;"{""coordinates"": [-0.38968529007276803, 39.46704938716867], ""type"": ""Point""}";39.46704938716867, -0.38968529007276803
21913;GRAN ASOCIACIÓN DE BENEFICENCIA NUESTRA SEÑORA DE LOS DESAMPARADOS;725576.693;4372959.258;005457;12660;10;963913907;"{""coordinates"": [-0.3774288420502655, 39.47667413144375], ""type"": ""Point""}";39.47667413144375, -0.3774288420502655
21964;COORDINADORA VALENCIANA DE ONGDS;725294.339;4372823.069;003338;50520;9;963913749;"{""coordinates"": [-0.38075429621298995, 39.475522234641836], ""type"": ""Point""}";39.475522234641836, -0.38075429621298995
22004;ASOCIACIÓN DE DAMAS DE SAN VICENTE FERRER;726185.978;4372342.675;001502;60510;3;963524236;"{""coordinates"": [-0.37056131568130196, 39.47096427648013], ""type"": ""Point""}";39.47096427648013, -0.37056131568130196
22031;CENTRO DE ASISTENCIA A VÍCTIMAS DE AGRESIONES SEXUALES - CAVAS;725049.984;4372994.935;001507;35100;102;963943069;"{""coordinates"": [-0.3835343662529488, 39.477133168955646], ""type"": ""Point""}";39.477133168955646, -0.3835343662529488
23490;FUNDACIÓN PARA LA FORMACIÓN Y EL EMPLEO;726073.247;4373744.35;009630;20520;1;963935150;"{""coordinates"": [-0.3713953873296423, 39.483610529742066], ""type"": ""Point""}";39.483610529742066, -0.3713953873296423
23590;CENTRO MUNICIPAL DE SERVICIOS SOCIALES CAMPANAR;723900.5372668;4373285.14935593;003262;34410;S/N;962082775;"{""coordinates"": [-0.3967876030283791, 39.48004530660248], ""type"": ""Point""}";39.48004530660248, -0.3967876030283791
23595;CENTRO MUNICIPAL DE SERVICIOS SOCIALES NAZARET;729471.38081836;4369945.8417236;003267;55710;94;963525478;"{""coordinates"": [-0.33188604432565705, 39.4503734088398], ""type"": ""Point""}";39.4503734088398, -0.33188604432565705
23614;ASOCIACIÓN VALENCIANA DE TRASPLANTES DE PULMÓN;725264.543;4369906.993;009850;37390;6;657106881;"{""coordinates"": [-0.3820846032866895, 39.449281822652914], ""type"": ""Point""}";39.449281822652914, -0.3820846032866895
23664;INFOCIUDAD - SERCOVAL. GRUPO SERCOVAL;726697.83110733;4373758.77212331;006772;17790;S/N;963555233;"{""coordinates"": [-0.36413550009304196, 39.483575999792116], ""type"": ""Point""}";39.483575999792116, -0.36413550009304196
23745;FEDERACIÓN DE ASOCIACIONES POR LA INTEGRACIÓN DEL SORDO EN LA COMUNIDAD VALENCIANA - HELIX;725388.057;4372172.52;005416;8790;48;635457349;"{""coordinates"": [-0.3798856164450737, 39.46964198646017], ""type"": ""Point""}";39.46964198646017, -0.3798856164450737
23856;ASOCIACIÓN JUVENIL CLUB DIEMAL;726854.761;4372971.77;000193;24540;12;963612150;"{""coordinates"": [-0.3625803940629895, 39.476450795718264], ""type"": ""Point""}";39.476450795718264, -0.3625803940629895
23881;ASOCIACIÓN DE CARIDAD SAN VICENTE DE PAUL;725156.074;4373192.065;001501;9930;11;963924546;"{""coordinates"": [-0.38223559896943715, 39.478879822931674], ""type"": ""Point""}";39.478879822931674, -0.38223559896943715
23885;ABOGADOS.TURNO DE OFICIO;726284.331;4372825.633;009304;18750;2;963940635;"{""coordinates"": [-0.3692552461840875, 39.47528558145745], ""type"": ""Point""}";39.47528558145745, -0.3692552461840875
23933;ACECOVA. ASOCIACIÓN DE CELÍACOS DE LA COMUNIDAD VALENCIANA;724195.434;4371897.127;009309;18390;25;963857165;"{""coordinates"": [-0.39382879870503634, 39.46747454581961], ""type"": ""Point""}";39.46747454581961, -0.39382879870503634
23934;ASOCIACIÓN VALENCIANA DE ESPINA BÍFIDA;724507.504;4374444.539;000488;59670;6;963482866;"{""coordinates"": [-0.3893470264310636, 39.49032309019765], ""type"": ""Point""}";39.49032309019765, -0.3893470264310636
23936;ASOCIACIÓN VALENCIANA CONTRA LOS TRASTORNOS ALIMENTARIOS;725464.533;4374455.198;009530;49500;39;963497415;"{""coordinates"": [-0.378225651229141, 39.49016871111767], ""type"": ""Point""}";39.49016871111767, -0.378225651229141
24004;AVAAR. ASOCIACIÓN VALENCIANA DE AFECTADOS DE ARTRITIS;724349.367;4374528.34;001524;38940;57;608703472;"{""coordinates"": [-0.39115590155217794, 39.49111866304938], ""type"": ""Point""}";39.49111866304938, -0.39115590155217794
24006;AICCV. ASOCIACIÓN DE IMPLANTADOS COCLEARES COMUNIDAD VALENCIANA;725427.782;4372765.065;009467;72360;8;962025122;"{""coordinates"": [-0.37922402921529746, 39.47496518703757], ""type"": ""Point""}";39.47496518703757, -0.37922402921529746
24007;CALCSICOVA. COORDINADORA DE LUCHA CONTRA EL SIDA COMUNIDAD VALENCIANA;724808.082;4370362.223;009554;32160;24;685470842;"{""coordinates"": [-0.38723094134087094, 39.45349871695349], ""type"": ""Point""}";39.45349871695349, -0.38723094134087094
24013;AVADIS. ASOCIACIÓN VALENCIANA PARA LA DISLEXIA Y OTROS PROBLEMAS DE APRENDIZAJE;723532.426;4371082.317;009540;81273;8;656428505;"{""coordinates"": [-0.4018014516317013, 39.46031257022199], ""type"": ""Point""}";39.46031257022199, -0.4018014516317013
24018;RSP. RED DE SOLIDARIDAD POPULAR;724742.814;4374314.939;010197;53640;129;96;"{""coordinates"": [-0.38665712732883456, 39.489095084517864], ""type"": ""Point""}";39.489095084517864, -0.38665712732883456
24031;ASOCIACIÓN DE FAMILIARES DE ENFERMOS DE ALZHEIMER DE VALENCIA - AFAV;724188.998;4374453.179;001402;81756;6;963587958;"{""coordinates"": [-0.3930442228615234, 39.49048393452461], ""type"": ""Point""}";39.49048393452461, -0.3930442228615234
24102;ASOCIACION CARENA. APOYO PSICOLÓGICO EN EL CÁNCER.;725676.922;4372754.554;010199;72270;18;963923898;"{""coordinates"": [-0.37633398231775694, 39.47480528173911], ""type"": ""Point""}";39.47480528173911, -0.37633398231775694
24107;ASSOCIACIÓ JOSE LUIS SAMPEDRO PER LA SALUT I LA CULTURA;723597.395;4373811.708;010183;81278;15;635317241;"{""coordinates"": [-0.4001321391082692, 39.484863851636], ""type"": ""Point""}";39.484863851636, -0.4001321391082692
24108;CÁRITAS PARROQUIA BUEN PASTOR;724688.069;4372239.922;010201;28080;22;963851643;"{""coordinates"": [-0.38799226850507057, 39.47043168838238], ""type"": ""Point""}";39.47043168838238, -0.38799226850507057
24158;TELÉFONO DE LA ESPERANZA;724925.719;4372427.041;006459;28800;9;914590055;"{""coordinates"": [-0.385169184204507, 39.47205392075711], ""type"": ""Point""}";39.47205392075711, -0.385169184204507
24163;FUNDACIÓN ADSIS. ASOCIACIÓN DE SERVICIOS DE INICIATIVA SOCIAL;726058.696;4370421.404;005452;65910;47;963343976;"{""coordinates"": [-0.37269027901895063, 39.45370407845014], ""type"": ""Point""}";39.45370407845014, -0.37269027901895063
24178;CENTRO MUNICIPAL DE SERVICIOS SOCIALES TRAFALGAR;728408.666;4371343.116;003271;73560;34;962082729;"{""coordinates"": [-0.3450903330925213, 39.46138037483074], ""type"": ""Point""}";39.46138037483074, -0.3450903330925213
24377;CRUZ ROJA ESPAÑOLA;722535.064;4371209.624;010017;81797;2;963802244;"{""coordinates"": [-0.4133406061352435, 39.46171685465613], ""type"": ""Point""}";39.46171685465613, -0.4133406061352435
24458;ASOCIACION SEXUALIDAD FUNCIONAL;725258.043;4371330.725;010213;24210;20;961154966;"{""coordinates"": [-0.38167970209160945, 39.46209885090612], ""type"": ""Point""}";39.46209885090612, -0.38167970209160945
23598;CENTRO MUNICIPAL DE SERVICIOS SOCIALES QUATRE CARRERES;726872.0788976;4370586.55753951;003269;81215;3;962084080;"{""coordinates"": [-0.3635595004474338, 39.45493799962195], ""type"": ""Point""}";39.45493799962195, -0.3635595004474338
21868;SENIORS ESPAÑOLES PARA LA COOPERACION TÉCNICA-SECOT;725507.629;4372293.568;006795;32640;3;963152000;"{""coordinates"": [-0.37845605103911506, 39.470700243875186], ""type"": ""Point""}";39.470700243875186, -0.37845605103911506
21882;FUNDACIÓN ODONTOLOGIA SOLIDARIA;725185.28;4372588.459;005464;8340;23;963154609;"{""coordinates"": [-0.3821001680603941, 39.47343900747369], ""type"": ""Point""}";39.47343900747369, -0.3821001680603941
21952;CENTRO MUNICIPAL DE SERVICIOS SOCIALES OLIVERETA;723753.49838824;4372243.56821923;003268;12480;12;962084680;"{""coordinates"": [-0.3988449462805764, 39.4707079572029], ""type"": ""Point""}";39.4707079572029, -0.3988449462805764
21976;ASOCIACIÓN ALTER VALENCIA - CENTRO EDUARDO SENA;724446.281;4370423.065;001352;43290;4;963258301;"{""coordinates"": [-0.39141133129674227, 39.45414073389046], ""type"": ""Point""}";39.45414073389046, -0.39141133129674227
21982;FUNDACION DE XIQUET A MAJOR COMUNITAT VALENCIANA;724656.282;4371655.936;010007;57300;38;902365065;"{""coordinates"": [-0.38855806330153086, 39.46518338086568], ""type"": ""Point""}";39.46518338086568, -0.38855806330153086
22000;INFOCIUDAD - ASOCIACIÓN CASA DE LOS OBREROS SAN VICENTE FERRER;725516.472;4372947.765;001499;12660;31;963916677;"{""coordinates"": [-0.3781321745777245, 39.47658646427], ""type"": ""Point""}";39.47658646427, -0.3781321745777245
22006;ASOCIACIÓN EL RASTRELL;726127.264;4373328.498;009514;77670;21;963623509;"{""coordinates"": [-0.3709089717922361, 39.47985320802563], ""type"": ""Point""}";39.47985320802563, -0.3709089717922361
22010;ASOCIACIÓN VIKTOR FRANKL;726093.097;4372260.996;009531;25530;34;963510113;"{""coordinates"": [-0.37166768394363575, 39.470253475570196], ""type"": ""Point""}";39.470253475570196, -0.37166768394363575
22222;SAUS. SERVICIO DE ATENCIÓN A URGENCIAS SOCIALES Y COLABORACIÓN EN EMERGENCIAS;725069.458;4372139.461;009675;45480;20;92092;"{""coordinates"": [-0.38359682819908925, 39.46942777808432], ""type"": ""Point""}";39.46942777808432, -0.38359682819908925
23491;FUNDACIÓN TERAPIA DE REENCUENTRO;729094.844;4372514.532;009636;10650;1;963728398;"{""coordinates"": [-0.3367204242488694, 39.47174185528687], ""type"": ""Point""}";39.47174185528687, -0.3367204242488694
23539;APNADAH. ASOCIACIÓN DE PADRES CON NIÑOS Y ADOLESCENTES CON DÉFICIT DE ATENCIÓN E HIPERACTIVIDAD;;;009829;7830;S/N;963293494;;
23594;CENTRO MUNICIPAL DE SERVICIOS SOCIALES MALVARROSA;729685.828;4373389.22;003266;81558;1;962082570;"{""coordinates"": [-0.32942262125134697, 39.479736067134205], ""type"": ""Point""}";39.479736067134205, -0.32942262125134697
23608;LAMBDA COLECTIVO DE LESBIANAS, GAYS, TRANSEXUALES Y BISEXUALES;727846.889;4372630.176;003487;63600;22;963342191;"{""coordinates"": [-0.35117410864436827, 39.473114018803884], ""type"": ""Point""}";39.473114018803884, -0.35117410864436827
23618;ACCU. ASOCIACIÓN DE ENFERMOS DE CROHN Y COLITIS ULCEROSA;725388.057;4372172.52;009301;8790;48;963520598;"{""coordinates"": [-0.3798856164450737, 39.46964198646017], ""type"": ""Point""}";39.46964198646017, -0.3798856164450737
23654;CENTRO MUNICIPAL DE SERVICIOS SOCIALES PATRAIX;724178.2183866;4371365.98722283;003265;66480;13;962084670;"{""coordinates"": [-0.394207159942907, 39.46269808287061], ""type"": ""Point""}";39.46269808287061, -0.394207159942907
23684;INFOCIUDAD - ASOCIACIÓN DE VECINOS ORRIOLS - RASACANYA;726142.111;4374530.352;010170;69360;12;655563218;"{""coordinates"": [-0.3703288262858909, 39.4906673075922], ""type"": ""Point""}";39.4906673075922, -0.3703288262858909
23690;CENTRE DE RECURSOS 'JUST RAMIREZ';725266.761;4372740.027;009562;70170;10;963922088;"{""coordinates"": [-0.3811026473774138, 39.47478197717302], ""type"": ""Point""}";39.47478197717302, -0.3811026473774138
23748;FUNDACIÓN POR LA JUSTICIA DE LA COMUNIDAD VALENCIANA;724344.93;4372338.562;010171;41880;57;961047335;"{""coordinates"": [-0.39194422373030147, 39.4714090762745], ""type"": ""Point""}";39.4714090762745, -0.39194422373030147
23799;ASOCIACIÓN ENFERMOS DE HEPATITIS C;725388.057;4372172.52;001518;8790;48;963509187;"{""coordinates"": [-0.3798856164450737, 39.46964198646017], ""type"": ""Point""}";39.46964198646017, -0.3798856164450737
23803;ASOCIACIÓN ESCLEROSIS MÚLTIPLE DE LA COMUNIDAD VALENCIANA;729220.581;4371944.379;000487;71130;61;963562820;"{""coordinates"": [-0.3354560669325877, 39.466576510606764], ""type"": ""Point""}";39.466576510606764, -0.3354560669325877
23927;ASOCIACIÓN VALENCIANA PARA LA LUCHA CONTRA LA ANOREXIA Y LA BULIMIA - AVALCAB;725639.62;4373750.169;000477;41430;12;963462120;"{""coordinates"": [-0.37643033523641756, 39.48377673980659], ""type"": ""Point""}";39.48377673980659, -0.37643033523641756
23937;ASOCIACIÓN ESPAÑOLA CONTRA EL CÁNCER;726779.02;4372772.92;000458;60630;9ac;963391400;"{""coordinates"": [-0.36352772569636216, 39.4746809387457], ""type"": ""Point""}";39.4746809387457, -0.36352772569636216
23942;COMEDOR SOCIAL SAN JOSÉ;727073.559;4374114.252;003490;61650;5;963690531;"{""coordinates"": [-0.3596500950616476, 39.48667659834158], ""type"": ""Point""}";39.48667659834158, -0.3596500950616476
24002;ATHEP. ASOCIACIÓN DE ENFERMOS Y TRASPLANTADOS HEPÁTICOS DE LA COMUNIDAD VALENCIANA;725430.928;4369645.622;009537;44460;100;963463033;"{""coordinates"": [-0.3802410722239011, 39.446885637420536], ""type"": ""Point""}";39.446885637420536, -0.3802410722239011
24023;ENTIDAD RELIGIOSA SIERVAS DE JESÚS;726882.379;4371566.663;003515;66420;58;963742648;"{""coordinates"": [-0.36273746768906984, 39.46379606301067], ""type"": ""Point""}";39.46379606301067, -0.36273746768906984
24096;COMISIÓN DIOCESANA DE ACCIÓN SOCIAL;725859.63;4372714.075;003491;7650;12;963158219;"{""coordinates"": [-0.37422566042963296, 39.47439299534256], ""type"": ""Point""}";39.47439299534256, -0.37422566042963296
24100;APNAV. ASOCIACIÓN VALENCIANA DE PADRES DE AUTISTAS;723328.262;4371290.904;009481;73920;67;961362525;"{""coordinates"": [-0.40410244523480643, 39.46224311626755], ""type"": ""Point""}";39.46224311626755, -0.40410244523480643
24219;SERVICIO DE ACCIÓN SOCIAL;724049.96;4370389.698;006773;39810;23;963883054;"{""coordinates"": [-0.3960242379352894, 39.45394357800155], ""type"": ""Point""}";39.45394357800155, -0.3960242379352894
24247;DE NEU. ASOCIACIÓN DE ENFERMEDADES DE LOS NEUROTRANSMISORES.;726866.101;4372872.469;010167;48120;13;609325733;"{""coordinates"": [-0.36248246319424793, 39.47555399306607], ""type"": ""Point""}";39.47555399306607, -0.36248246319424793
24248;EL PUCHERO. COCINA SOLIDARIA;726105.647;4375127.201;010164;68370;6;651870721;"{""coordinates"": [-0.3705499118520395, 39.496049180762924], ""type"": ""Point""}";39.496049180762924, -0.3705499118520395
24281;ASOCIACIÓN DE MICROSOMÍA HEMIFACIAL DE VALENCIA;727098.572;4370428.419;009506;33480;67;963953293;"{""coordinates"": [-0.3606141923007682, 39.45349365967457], ""type"": ""Point""}";39.45349365967457, -0.3606141923007682
24291;RED ALQUILA;725296.889;4372414.839;009661;76620;14;902365044;"{""coordinates"": [-0.3808625633318554, 39.47184701274054], ""type"": ""Point""}";39.47184701274054, -0.3808625633318554
24292;SOSTRE. ARQUITECTURA Y COOPERACIÓ;725594.132;4373778.386;010194;77370;14;963173794;"{""coordinates"": [-0.3769491680173898, 39.48404265361042], ""type"": ""Point""}";39.48404265361042, -0.3769491680173898
24330;ASOCIACIÓN ORRIOLS CONVIVE;726232.393;4374878.24;010145;6870;34;961336003;"{""coordinates"": [-0.36916192923790503, 39.493774932598285], ""type"": ""Point""}";39.493774932598285, -0.36916192923790503
24334;CENTRO MUNICIPAL DE SERVICIOS SOCIALES BENIMACLET;727139.1805291;4374032.67269856;003261;69570;15;962084380;"{""coordinates"": [-0.3589156230263944, 39.48592497882154], ""type"": ""Point""}";39.48592497882154, -0.3589156230263944
24335;CENTRO MUNICIPAL DE SERVICIOS SOCIALES CIUTAT VELLA;725392.91320549;4373063.03520921;003263;48000;2;962084167;"{""coordinates"": [-0.37952831029166195, 39.47765640116092], ""type"": ""Point""}";39.47765640116092, -0.37952831029166195
24353;ASOCIACIÓN AFECTADOS RETINOSIS PIGMENTARIA - COMUNIDAD VALENCIANA;725388.057;4372172.52;000471;32640;3;963511735;"{""coordinates"": [-0.3798856164450737, 39.46964198646017], ""type"": ""Point""}";39.46964198646017, -0.3798856164450737
